cluster	x	y	z	intensity	temperature	label
Orion	-43.2248	16.8243	11.1763	54.3393	382.0226	Orion-00000
Lyra	12.0698	-45.3993	51.4144	69.9117	409.1043	Lyra-00001
Cygnus	55.4484	38.8111	-18.9747	76.1403	417.7156	Cygnus-00002
Hydra	-25.8351	-47.8186	-49.5174	73.5843	406.6404	Hydra-00003
Orion	-35.3103	3.3715	8.5799	45.1087	364.1378	Orion-00004
Lyra	17.8939	-26.8928	62.8511	76.0995	423.623	Lyra-00005
Cygnus	61.3078	11.2862	-58.3467	88.7904	436.1814	Cygnus-00006
Hydra	-33.1387	-50.1075	-44.8235	80.15	416.1813	Hydra-00007
Orion	-42.821	15.7617	12.9483	48.1494	371.5808	Orion-00008
Lyra	21.5249	-27.1317	41.7199	57.5052	391.9045	Lyra-00009
Cygnus	47.5672	33.6178	-27.5172	70.2527	420.4694	Cygnus-00010
Hydra	-23.9657	-49.9045	-34.8555	68.8347	400.3492	Hydra-00011
Orion	-22.6017	16.977	-4.8478	36.2659	342.0862	Orion-00012
Lyra	22.715	-39.3239	54.8567	73.6249	413.5712	Lyra-00013
Cygnus	57.9366	44.7856	-20.4122	81.9191	423.7979	Cygnus-00014
Hydra	-34.7358	-35.6996	-40.2859	66.282	400.5111	Hydra-00015
Orion	-49.6253	15.5239	-4.8956	55.8213	373.9835	Orion-00016
Lyra	28.6757	0.46	39.6139	49.3298	368.6369	Lyra-00017
Cygnus	66.646	37.9907	-22.0025	80.3784	418.6154	Cygnus-00018
Hydra	-51.3507	-21.4513	-64.9924	93.3102	445.0529	Hydra-00019
Orion	-18.7095	19.3464	5.4289	29.8569	326.9717	Orion-00020
Lyra	18.3841	-33.561	36.5365	61.4922	393.3152	Lyra-00021
Cygnus	58.2917	24.8118	-30.1998	78.3961	421.0991	Cygnus-00022
Hydra	-11.904	-51.1594	-42.0791	68.6782	397.3201	Hydra-00023
Orion	-40.8697	6.5206	14.2135	43.7644	351.5183	Orion-00024
Lyra	19.8791	-29.2167	64.3009	80.8566	420.2313	Lyra-00025
Cygnus	51.3389	32.5158	-4.3307	61.6947	380.965	Cygnus-00026
Hydra	-23.5158	-45.6106	-32.5563	61.9275	381.2685	Hydra-00027
Orion	-52.6095	19.3289	10.5814	60.8463	401.6449	Orion-00028
Lyra	23.8177	-21.79	43.3014	56.8156	378.2788	Lyra-00029
Cygnus	68.263	28.6277	-35.2518	83.0773	432.2863	Cygnus-00030
Hydra	-16.3375	-37.7048	-40.1864	59.4582	384.7387	Hydra-00031
Orion	-25.9722	24.1317	15.1379	46.286	376.2316	Orion-00032
Lyra	30.05	-27.5454	39.9929	58.2976	381.2975	Lyra-00033
Cygnus	70.4816	23.0016	-46.9758	95.0368	452.8628	Cygnus-00034
Hydra	-16.5962	-43.1421	-41.0501	66.0238	401.4867	Hydra-00035
Orion	-43.8669	6.7053	15.7541	50.7135	371.013	Orion-00036
Lyra	9.8444	-16.8001	44.0503	52.1996	377.8566	Lyra-00037
Cygnus	44.7616	32.5225	-24.9723	64.6917	410.0412	Cygnus-00038
Hydra	-7.7583	-55.7349	5.5868	64.0732	402.4671	Hydra-00039
Orion	-11.5232	13.1894	16.1501	28.1945	327.805	Orion-00040
Lyra	24.3427	-19.4639	55.5901	72.599	412.7873	Lyra-00041
Cygnus	51.5805	40.8518	-32.4526	81.982	429.3228	Cygnus-00042
Hydra	-5.8775	-46.279	-34.9479	60.9597	386.316	Hydra-00043
Orion	-28.3995	15.8329	-2.7023	33.1414	337.0443	Orion-00044
Lyra	9.2006	-36.5169	47.5434	69.2977	401.9304	Lyra-00045
Cygnus	60.066	32.1128	-38.5827	80.397	419.6552	Cygnus-00046
